"Painting","Year","Y","Color","Size"
"Kreuzigung aus Santa Croce in Florenz; Zustand nach 1966 by Cimabue",1287,66,"#dadeb9",0.870588235294
"Kruzifix by Giotto",1290,180,"#9bd2d2",0.823529411765
"Buch über die Nützlichkeit der Tiere des Abû Sa'îd 'Ubayd Allâh ibn Bakhtîshû; Szene by Unknown.",1294,41,"#b5ab94",0.709803921569
"Herbstfarben in den Ch'iao- und Hua-Bergen by Zhao Mengfu",1295,24,"#8b786b",0.545098039216
"Autumn Colors on the Ch'iao and Hua Mountains by Zhao Mengfu",1295,7,"#ca8a81",0.792156862745
"Autumn Colors on the Ch'iao and Hua Mountains by Zhao Mengfu",1295,34,"#847868",0.517647058824
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,35,"#c3b39c",0.764705882353
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,11,"#68463e",0.407843137255
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,27,"#a69485",0.650980392157
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,270,"#7c7b7d",0.490196078431
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,33,"#c1b5a6",0.756862745098
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,25,"#96867a",0.588235294118
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,60,"#666664",0.4
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,13,"#72544b",0.447058823529
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,21,"#9c8c83",0.611764705882
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,18,"#917163",0.56862745098
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,7,"#513b38",0.317647058824
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,25,"#987e6b",0.596078431373
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,21,"#987968",0.596078431373
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,26,"#af9f92",0.686274509804
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,226,"#61636a",0.41568627451
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,30,"#a4978a",0.643137254902
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,348,"#4e3e41",0.305882352941
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,27,"#bbab9d",0.733333333333
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,12,"#a66c5c",0.650980392157
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Unknown.",1296,34,"#9a8a75",0.603921568627
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,34,"#a99983",0.662745098039
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,30,"#b39e89",0.701960784314
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,16,"#897e7a",0.537254901961
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,0,"#402929",0.250980392157
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,22,"#a99284",0.662745098039
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,6,"#877e7d",0.529411764706
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,330,"#807a7d",0.501960784314
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,8,"#674742",0.403921568627
"Freskenzyklus zum Leben des Hl. Franziskus von Assisi; Szene by Giotto",1296,350,"#4a3e40",0.290196078431
"Londoner Triptychon; Haupttafel by Duccio",1300,60,"#fbfbfa",0.98431372549
"Apsismosaik im Dom zu Pisa; Szene by Cimabue",1301,31,"#997c5d",0.6
"Apsismosaik im Dom zu Pisa; Szene by Cimabue",1301,23,"#897466",0.537254901961
"Apsismosaik im Dom zu Pisa; Szene by Cimabue",1301,24,"#634b3a",0.388235294118
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1303,10,"#c96550",0.788235294118
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Allegorie der Gerechtigkeit (Justizia). by Giotto",1304,50,"#716e5e",0.443137254902
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,16,"#1f120d",0.121568627451
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,358,"#432324",0.262745098039
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); gemalte Architektur; Wanddekoration; Detail by Giotto",1304,33,"#5f4e38",0.372549019608
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,21,"#5e3219",0.36862745098
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,26,"#613e23",0.380392156863
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,30,"#433424",0.262745098039
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,37,"#514127",0.317647058824
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,36,"#af9b7b",0.686274509804
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,14,"#847874",0.517647058824
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,16,"#6a3521",0.41568627451
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,197,"#34393b",0.23137254902
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,21,"#99857a",0.6
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,192,"#0e1618",0.0941176470588
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,25,"#593011",0.349019607843
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,19,"#8f7a70",0.560784313725
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,32,"#b09f8b",0.690196078431
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,44,"#9b9688",0.607843137255
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,23,"#665448",0.4
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Übersicht über Wandgestaltung; obere Szene by Giotto",1304,10,"#170d0b",0.0901960784314
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,33,"#715f48",0.443137254902
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,205,"#2d516c",0.423529411765
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,38,"#4e4535",0.305882352941
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,60,"#e1e1d9",0.882352941176
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,9,"#5a4440",0.352941176471
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,18,"#6d625d",0.427450980392
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,210,"#818b95",0.58431372549
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,18,"#4c3a32",0.298039215686
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,30,"#342a20",0.203921568627
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,203,"#2e424f",0.309803921569
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,163,"#50625d",0.38431372549
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,38,"#bcab8d",0.737254901961
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,125,"#5f6960",0.411764705882
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,109,"#687166",0.443137254902
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1304,39,"#8f8062",0.560784313725
"Kreuzigungs-Triptychon; links by Duccio",1305,10,"#673126",0.403921568627
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1306,29,"#a1856a",0.63137254902
"Freskenzyklus in der Arenakapelle in Padua (Scrovegni-Kapelle); Szene by Giotto",1306,27,"#8f7c6c",0.560784313725
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,29,"#9c642d",0.611764705882
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,18,"#180f0b",0.0941176470588
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,31,"#875a29",0.529411764706
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,40,"#63502a",0.388235294118
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,16,"#4a2618",0.290196078431
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,25,"#a16132",0.63137254902
